Startup name,Country,Basic problem,Differentiator,Core product description,Main AI / data advantage,Latest Funding Amount,Latest Funding Date,,,
Klue,Canada,Competitive intel gathering for sales is manual and slow,AI-driven competitive enablement platform integrating field insights,Delivers real-time competitor updates and battlecards for revenue teams,Proprietary data aggregation & NLP to surface key competitor moves automatically,USD 83M,15 Jul 2025,,,
Signum.AI,USA,Missing emerging trends and competitor moves until it's too late,Consolidates competitor tracking + trend discovery in one AI tool,"Monitors competitors’ launches, hiring, content & market signals for GTM teams",AI assistant converts multi-source intelligence into actionable growth insights,Undisclosed Seed,12 Dec 2023,,,
Veridion,Romania,"Lack of comprehensive, up-to-date market and supplier data",AI-enriched database of 130M+ company profiles via API,"Provides continuously updated firmographic, technographic & ESG data for market intelligence",ML-driven data integration from unstructured sources into a unified intelligence dataset,USD 6M,21 Feb 2023,,,
RivalSense,Latvia,Small teams cannot afford dedicated competitor analysts,Affordable AI-based competitor signal monitoring for SMBs,"Tracks 80+ data sources (sites, job posts, etc.) and provides digestible weekly intel",Automation + AI filtering highlights important competitor changes without noise,Undisclosed Angel,5 Jun 2024,,,
Competitors App,Romania,"Hard to manually monitor competitors’ websites, emails, and social media all at once",All-in-one competitor marketing monitoring dashboard (multi-channel),"Automatically tracks rivals’ site changes, blog posts, newsletters, keywords & social updates",Turns multi-channel digital footprints into timely alerts with minimal human effort,Undisclosed Seed,2 Oct 2018,,,
BlueOcean AI,USA,Brands struggle to quantify brand health and competitive impact on revenue,AI platform linking brand & competitive analytics to actionable recommendations,"Aggregates 1200+ data sources (social, ads, surveys, financial) to benchmark brands vs competitors",Generative and predictive models to identify brand perception shifts and prescribe marketing actions,USD 30M,13 Apr 2022,,,
Hoodie Analytics,USA,Cannabis companies lack timely market data across fragmented state markets,"Daily competitive market intelligence for cannabis (pricing, distribution, inventory)",Tracks SKU-level pricing and availability across 10k+ dispensaries and 10M monthly consumer visits,Integrates POS & foot-traffic data with AI to reveal distribution gaps and emerging consumer trends,USD 5M,27 Jun 2024,,,
Kompyte,Spain,Enterprises need real-time alerts on competitors’ online activities,Automated competitor tracking SaaS that integrates with sales/marketing workflows,"Monitors competitor websites, product updates, and messaging changes and feeds insights into battlecards",Early mover using AI for change detection to reduce manual competitive research,Acquired (Semrush),14 Mar 2022,,,
Outset,USA,In-depth user interviews are slow to conduct and analyze at scale,AI-moderated user research platform enabling qualitative studies at scale,"Conducts automated interviews & surveys with an AI moderator, then auto-generates reports and insights","Conversational AI + NLP to ask follow-ups and synthesize themes, dramatically speeding up UX research",USD 30M,10 Dec 2025,,,
Maze,USA,Product teams spend weeks manually analyzing usability test videos and results,Rapid UX research platform with AI-driven analysis of tests and feedback,"Allows continuous testing (prototypes, usability, surveys) and uses AI to instantly produce insights and reports",Computer vision & NLP analyze user videos and open feedback to highlight key issues without manual review,USD 40M,8 Jun 2022,,,
Sprig,USA,Hard to quickly get user feedback on new features and understand sentiment before launch,In-product micro-surveys and concept tests with AI analysis for rapid product feedback,Lets product teams deploy surveys or prototype tests in-app and uses AI to analyze text responses and usability metrics,"NLP models automatically categorize feedback sentiment and themes, accelerating product decision cycles",USD 30M,2 Aug 2022,,,
Chattermill,UK,"Companies have siloed customer feedback (reviews, surveys, support tickets) that’s hard to unify and act on",Unified customer intelligence platform using deep learning to analyze sentiment & themes across all feedback,"Aggregates feedback from multiple channels and uses AI to highlight key customer pain points, requests, and satisfaction drivers","Proprietary deep NLP that uncovers patterns and sentiment from unstructured text at scale, providing a single source of truth for customer experience insights",USD 26M,5 Dec 2022,,,
Caplena,Switzerland,Manually coding and analyzing open-ended survey responses is slow and prone to bias,AI-powered text feedback analysis supporting 30+ languages with minimal setup,"Automatically categorizes and tags free-text responses from surveys or reviews, and produces dashboards of key themes and sentiment","Machine learning models pre-trained on multilingual feedback data rapidly adapt to new datasets, enabling accurate categorization and sentiment detection without manual training",EUR 3M,Jul 2024,,,
Dovetail,Australia,"User research data (notes, transcripts, clips) gets lost in scattered docs and is hard to synthesize across studies",Research repository with AI-assisted analysis and tagging,"Centralizes interview notes and usability test recordings, enabling teams to tag, search, and now auto-summarize patterns across research sessions","NLP features (transcription, keyword extraction, auto-tagging of themes) reduce the toil in qualitative analysis and help surface insights across projects",USD 63M,31 Aug 2022,,,
Crisp,USA,Food supply chain decisions suffer because demand forecasts are updated slowly and don't use real-time data,"Vertical AI platform for retail/CPG that provides real-time, collaborative demand forecasting and planning","Connects distributors, retailers, and brands on one data-sharing platform and uses AI to forecast demand, optimize inventory, and even automate ordering","Proprietary retail-focused AI models and an agent ecosystem that continuously adjust forecasts based on live sales and external signals (weather, events), improving accuracy and responsiveness",USD 26M,10 Dec 2025,,,
Syrup Tech,USA,"Apparel retailers often misjudge inventory, leading to stockouts or markdowns due to unpredictable style-level demand",AI-driven merchandise planning for fashion that predicts demand at the SKU level and optimizes inventory allocation,"Analyzes historical sales, product attributes, and even trend data to forecast demand for each product variant and recommends how much to buy and where to allocate stock","Uses machine learning to identify patterns in what drives sell-through (color trends, style features) and computer vision on product images to cluster similar products, yielding remarkably accurate SKU forecasts and reduced waste",USD 17.5M,23 Jan 2024,,,
Martee AI,UK,"Fresh food retailers (e.g., grab-and-go) lose money from overproduction and waste because demand fluctuates daily and is hard to forecast",Real-time demand sensing platform specialized for fresh food and ready-to-eat inventory,"Forecasts daily demand for perishable food items by analyzing historical sales, weather, local events, and time-of-day patterns, helping kitchens produce just the right amount","AI models tuned to short-term, hyper-local demand patterns adjust predictions in real time (e.g., accounting for a sudden weather change) — something traditional weekly forecasts miss, significantly cutting food waste",GBP 540k,2023,,,
Garvis,Belgium,Conventional demand planning tools are inflexible and don't let planners quickly adjust forecasts when market conditions change,‘Bionic’ AI demand planning that combines human planner knowledge with transparent AI forecasts in a no-code interface,Allows supply chain planners to input their assumptions or external events (like a competitor stock-out or new promotion) and instantly see AI-adjusted demand forecasts and inventory recommendations,"User-trainable AI that provides explainable forecasts — planners see why the AI predicts a certain demand and can correct it, which in turn updates the model, merging human intuition with AI number-crunching for much faster planning cycles",EUR 3.5M,18 May 2022,,,
Browse AI,Canada,"Non-developers often need web data (pricing, competitors’ info) but web scraping traditionally requires coding and breaks easily when sites change",No-code cloud web scraping bots that users train by demonstration,Users visually select data on a website via a browser extension; the platform then deploys a cloud bot that extracts that data on a schedule and delivers it in spreadsheets or via API,"Uses machine vision and pattern recognition to automatically generalize a scraping rule from a single user interaction, and auto-adjusts to minor page layout changes, minimizing the need for maintenance",USD 2.8M,15 Aug 2023,,,
Kadoa,Switzerland,"Enterprises spend significant effort extracting specific info from messy unstructured sources (web pages, PDFs) to feed their apps or analyses",AI agents for unstructured data that let you query and extract data from documents or websites using natural language,"Users describe the data they need (e.g., \extract all company names and HQ locations from this PDF\"") and Kadoa’s AI agent will parse the source and return structured data","automatically handling formatting variations or errors""","Large language models allow the system to understand context and semantics (so it can find an answer even if not explicitly labeled) and dynamically adjust extraction logic when the source format changes, delivering maintenance-free scraping/extraction",Undisclosed Seed,12 Mar 2025,,
Bardeen,USA,"Professionals waste hours on repetitive cross-app tasks (copying data between tools, updating reports) that could be automated with difficulty",Browser-based AI automation assistant that can be told in plain language to complete multi-step workflows across web apps,"For example, a user can say \find emails of people from LinkedIn search results and add to a spreadsheet\"" – Bardeen’s agent will perform those steps in the browser",clicking and typing like a human would,"but much faster and unattended""","Combines an understanding of web interfaces with an agentic AI that plans tasks, effectively turning high-level intents into sequences of web actions (the AI even handles pop-ups, scrolls, etc.), bringing the power of RPA + AI to non-technical users",USD 3M,8 Aug 2024,
AlphaSense,USA,Financial analysts and strategists struggle to find relevant information buried in millions of business documents and transcripts,Intelligent search engine for business data that understands financial context and jargon,"Allows users to query things like \rising raw material costs impact\"" and searches through earnings calls",SEC filings,and research to find exact mentions and analytics,"rather than simple keyword matches""","Leverages NLP tuned to corporate and financial language plus a vast proprietary index, yielding highly precise search results (by concept, not just keywords) – e.g., it knows \FX headwinds\"" relates to currency exchange impacts – saving time and uncovering insights normal search would miss""",USD 150M,Oct 2023
Signal AI,UK,"Executives lack a way to quantify external risks and signals (news, PR, regulations) that could affect their business in real time","AI platform for real-time risk & reputation intelligence, scanning global media and data sources","Monitors tens of thousands of news and data sources and uses an AI knowledge graph to connect mentions to specific companies, topics, and risk factors, delivering custom alerts and analytics (e.g., ESG risk alerts, competitor media share of voice)","Combines deep learning for language understanding with graph analytics – it doesn’t just count mentions, it understands context (like a neutral vs damaging mention) and relationships (like a new regulation affecting a specific product line), giving much more nuanced and actionable external intelligence than traditional media monitoring",USD 165M,17 Nov 2023,,,
Pecan AI,Israel,"Mid-market companies have lots of data (customer, marketing, etc.) but not enough data scientists to build predictive models for things like churn or demand",Automated predictive analytics platform that turns raw business data into accurate predictions and actionable drivers,"Enables analysts to connect their databases and select a business question (e.g., \who will churn?\"") – then Pecan automatically builds and deploys a predictive model and surfaces the key factors (e.g.","\""late delivery count\"" or \""plan type\"") influencing that outcome""","End-to-end AutoML with a business UI – it handles data prep, feature engineering, model training and monitoring in the background, while also using AI to generate easy-to-understand explanations for each prediction, making advanced ML usable by non-technical teams",USD 66M,15 Mar 2022,,
Placer.ai,USA,Brick-and-mortar businesses and real-estate professionals lack timely insights on foot traffic and customer behavior as granular as what online businesses have,Location analytics platform providing detailed foot traffic data and consumer movement insights for any place,"Offers metrics like visit trends, dwell times, customer journey paths (where else those visitors go), competitive visit share, etc., derived from anonymized mobile location data, allowing users to benchmark and analyze the offline world with data","Its AI and data engineering pipeline processes billions of mobile location pings and combines them with geo-context (maps, store polygons) to accurately estimate visits while filtering noise (distinguishing, say, employees from customers) – essentially creating a near-real-time \Google Analytics for physical places\""",USD 166M,17 May 2022,,,
Yabble,New Zealand,Analyzing verbatim customer feedback or survey comments to extract insights is time-consuming and often subjective,"Generative AI that can analyze or even generate natural language insights from data, cutting the insight discovery time from weeks to minutes","Provides tools like an \AI analyst\"" that you can ask questions about your data (e.g.",“Why are customers churning?”) and it will read through all feedback and produce an answer,"and another tool to auto-generate survey questions""","Built on a generative AI trained on market research data, it can not only categorize text like many tools, but truly converse with the data (e.g., answering in a narrative form) and give coherent, high-level summaries instead of just stats, simulating an analyst’s summary on-demand",USD 2.15M,Sep 2021 (acq. by YouGov 2023),
Narrative Science,USA,"Busy managers often don’t read detailed BI dashboards, so critical insights hidden in data can be missed or misinterpreted",Natural Language Generation (NLG) platform that automatically transforms data into easy-to-read narratives,"Integrates with BI tools and outputs written summaries (in plain English) of what’s happening in the numbers – e.g., \Revenue increased 5% last quarter driven by a 12% rise in APAC sales\"" – without any human analysis""","Pioneering NLG tech that can analyze data tables and highlight statistically significant changes or correlations, then communicate them in fluent language tailored to the user’s context, essentially acting as an automated data analyst who writes reports",Acquired (Salesforce),Feb 2022,,,
Peak AI,UK,Many companies gather data but can’t build AI solutions to actually use it in day-to-day decisions (due to talent or infrastructure gaps),"Decision Intelligence platform offering pre-built AI solutions (for demand forecasting, customer segmentation, etc.) deployable in weeks","Provides a suite of AI-powered applications (e.g., personalization, inventory optimization) that plug into a company's existing data sources and deliver recommended actions or forecasts, often directly into users’ tools","Abstracts the complexity of AI deployment – the platform handles data processing, modeling, and MLOps, and uses a library of proven model templates, so customers get tailored AI outcomes quickly; it also continuously learns from results to improve recommendations, delivering fast ROI on AI projects",USD 75M,31 Aug 2021,,,
Pigment,France,"Finance and strategy teams rely on large, brittle Excel sheets for planning, which break with change and don’t easily allow scenario testing",Next-gen business planning software with AI-driven forecasting and scenario simulation,"Allows companies to model their financial and operational plans in one platform, with an intuitive interface for creating scenarios (e.g., \what if sales drop 10% next quarter?\"") and AI that can automatically forecast based on historical data or detect anomalies in plans""","Combines a powerful in-memory calculation engine with AI/ML features – e.g., automatically forecasting certain line items using time-series models or offering “heads-up” anomaly alerts; it effectively augments human planners by catching issues and predicting outcomes, making planning more robust and agile",USD 88M,15 Dec 2022,,,
Tellius,USA,"Business users often have to ask data analysts for answers to even simple “why” questions, causing delays in insights",AI-powered BI platform with natural language search and automated insight generation,"Users can type or voice questions about their data (e.g., \Why did revenue dip in Europe in Q3?\"") and get visual answers with key drivers identified","and the AI also proactively scans data to point out anomalies or segments of interest""","Augments traditional BI with AI: it interprets plain English queries and uses ML to perform deep-dives (regression, clustering) on the fly, then surfaces explanations (“Revenue dipped primarily due to X region’s decline”) – essentially doing a junior data analyst’s work instantaneously",USD 16M,13 Oct 2022,,
ThoughtSpot,USA,Non-technical decision makers can’t get timely insights from data because they have to wait on analysts to create reports or dashboards,Search and AI-driven analytics platform designed for true self-service analytics at enterprise scale,"Offers a simple search bar experience for data: a user can type a question in plain language (e.g., \total Q3 sales in Europe vs Asia\"") and ThoughtSpot instantly generates an interactive chart or table with results","and it can also auto-generate related insights and anomaly alerts via its AI engine""","Highly optimized back-end for speed on big data combined with AI that interprets user intent and learns usage patterns – as more people ask questions, it gets better at anticipating needs and suggesting insights, enabling large organizations to democratize data access without performance issues",USD 100M,18 Nov 2021,,
Apollo.io,USA,"Small and mid-size sales teams lack the extensive prospect data and intelligence that bigger companies use, making lead generation inefficient",All-in-one sales intelligence platform with a massive contacts database and AI for lead scoring & recommendations,"Provides access to 250M contacts and 60M companies with tools to filter by criteria, and uses AI to recommend the best prospects to target and generate optimized outreach sequences (plus alerts like when a prospect switches jobs)",Combines a constantly updated proprietary data asset with machine learning – analyzing engagement and conversion data across its user base to refine which prospects are likely to convert – giving smaller sales teams a data-driven edge previously only available to large enterprises,USD 110M,16 Mar 2022,,,
Competitor Genius,USA,"Product marketers need quick, data-backed comparisons of competitors but manually analyzing thousands of user reviews and web updates is impractical",AI platform that analyzes online reviews and digital signals to instantly map competitors’ strengths and weaknesses,"Generates competitor scorecards and battlecards by using NLP to extract sentiment and common themes from reviews, forums, and ratings, and combines that with tracking of feature updates or pricing changes gleaned from websites and press","Applies sentiment analysis and topic modeling at scale to customer feedback, effectively listening to what real users say about every competitor – something humans can’t do comprehensively – and turns that into structured competitive positioning insights within minutes",N/A,,,,
PeerPanda,France,B2B SaaS startups often lack bandwidth to continuously monitor all competitor moves and learn from every lost deal,AI-powered CI assistant for SaaS that automates competitor update tracking and win/loss analysis,"Aggregates competitor news, product updates, and even analyzes internal CRM notes about deals to notify product marketing of important changes or patterns (e.g., a competitor’s new feature frequently mentioned in lost deals)","Uses AI to both scrape external updates and parse internal textual data (like sales call notes) to identify competitor-related trends, acting as a 24/7 competitive analyst that surfaces insights specific to a SaaS business’s landscape",N/A,,,,
LLMRefs,UK,SEO and content teams can’t easily track how their brand or content is referenced in new generative AI answers or rich search results,"Tool that monitors search engine and AI chatbot outputs to check a brand’s presence and references, using LLMs to interpret context","Regularly queries relevant keywords on search engines and AI Q&A systems, then uses AI to analyze whether and how your brand or content appears, alerting if you’re absent or misrepresented","Leverages large language models to understand nuanced mentions (not just exact keywords) and context, so it can catch indirect references or missing attributions that a simple keyword tracker would miss, giving SEO teams an edge in the era of AI-driven search",N/A,,,,
TrialTrace,USA,"Pharma competitive intelligence is extremely data-heavy – monitoring global trials, publications, and patents is beyond manual capacity",Platform that automatically aggregates and analyzes global clinical trial and drug pipeline data to identify competitors’ R&D moves,"Compiles data from clinical trial registries, FDA reports, scientific publications, and presents an updated pipeline view of competitors, highlighting changes such as new trial phase transitions or key study results, and even predicting possible timelines","Natural language processing and data fusion across disparate scientific sources gives a unified, up-to-date view; plus AI predictive models (trained on historical trial progression rates and outcomes) provide an edge by forecasting competitors’ next likely milestones – insights that would require a team of analysts to attempt manually",N/A,,,,
Unkover,USA,Fast-moving companies can be blindsided by a new entrant or market shift because early warning signs are hard to catch,AI-powered competitive & market intel platform that proactively scans for emerging threats or opportunities and alerts the team in real time,"Monitors sources like startup launches, funding news, social buzz, app rankings, etc., to catch events such as a stealth competitor launching or a surge in interest in an adjacent solution, and delivers succinct alerts with context","Uses anomaly detection and trend analysis to find needles in the haystack – e.g., an unusual spike in searches for a certain solution or a flurry of hires in a competitor – providing a radar for market shifts that would be invisible through traditional monitoring",N/A,,,,
Uncovered Intelligence,Lithuania,"Smaller B2B companies often can’t afford full-time competitive analysts, so they miss or react late to competitors’ changes","Competitive intelligence automation platform aimed at lean teams, which automatically collects and reports on competitor updates and customer perception data","Automatically compiles things like competitors’ new feature announcements, pricing changes, and recent customer reviews, distills them into insights (like “Competitor A is doubling down on enterprise features”) and distributes these insights in plain English reports to stakeholders","Combines web scraping, sentiment analysis, and generative summarization – effectively doing the work of an analyst by not only gathering data but also writing up the implications – so even companies without a CI team get actionable competitive knowledge regularly",N/A,,,,
Crayon,USA,"Market and competitive changes (website content, pricing, messaging) often go unnoticed until damage is done, because monitoring everything manually is unmanageable",Comprehensive competitive intelligence platform that tracks thousands of potential data points and makes it easy to enable internal teams with that intel,"Spiders competitor websites, news, social media, reviews, etc. for changes and consolidates findings in a central hub where CI managers can curate insights and share live battlecard updates with sales, product, and execs",One of the first to automate broad competitor monitoring – now augmenting with AI to prioritize significant changes (so users aren’t overwhelmed by minor updates) and to auto-generate competitive insights briefs – it effectively supercharges a small CI team to cover dozens of competitors in depth,USD 22M,4 May 2021,,,
Primer,USA,Intelligence analysts face info overload across multiple languages and sources – missing critical links or spending too long summarizing reports,"AI platform that reads and summarizes vast amounts of open-source text, and discovers connections, so analysts get key insights without manual reading","Processes news, social media, research documents in real time, auto-generating summaries and briefing books on topics or entities (e.g., merging all sources on a security incident into one narrative) and highlighting networks (like which groups are mentioned together frequently)","Uses advanced NLP for cross-lingual understanding and summarization plus a knowledge graph to maintain context – essentially doing hours of reading and analysis in seconds (and in any major language), and even proactively alerting on emerging narratives or threats, which massively amplifies what one analyst can cover",USD 110M,May 2021,,,
Remesh,USA,"Traditional focus groups gather deep insight but are slow, while surveys are fast but shallow – getting qualitative depth at quantitative scale is tough",AI-driven platform where AI facilitates a 'mass focus group' – engaging hundreds of participants and synthesizing their feedback on the fly,"One moderator can ask an open-ended question to, say, 500 consumers simultaneously; the AI analyzes all the responses as they come in, clusters them by sentiment and theme, and delivers insights (like top concerns or percentage agreement) during the live session","Real-time NLP clustering and sentiment analysis allow it to identify in seconds what would take a human researcher days of coding transcripts – you get top themes, representative quotes from each opinion cluster, and consensus metrics instantly, enabling truly agile qualitative research",USD 4.25M (Debt),30 Dec 2022,,,
Visualping,Canada,"Professionals need to know immediately when specific webpages change (e.g., competitor pricing page, regulation page) but can't monitor 24/7 themselves",Simple website change detection tool with smart alerting,Users enter a URL and what to watch (full page or section) – Visualping checks it at chosen intervals and emails an alert with highlights whenever a change is detected,"Its ease-of-use and cloud scale are key, and it's adding AI to filter out trivial changes (like formatting) vs important content changes, so users get high-signal alerts only; this automation ensures no critical web updates are missed, without manual checking",USD 6M,16 Jul 2021,,,
Geti (Retail Intelligence),Chile,"Retailers in emerging markets lack competitive pricing and assortment data, making it hard to optimize their strategy against competitors",Retail competitive intelligence platform focused on pricing and catalog monitoring (including niche sectors like Latin American e-commerce),"Continuously collects competitors’ product prices, promotions, stock availability from online and offline channels and provides analytics on price position, assortment gaps, and market share trends","Combines web scraping, crowdsourced data, and ML-based inference to fill missing data points, providing a near-complete market picture; its AI module can even simulate pricing moves on market share to guide strategy, bringing a level of data-driven decision support previously unavailable in these markets",N/A,,,,
Aisera,USA,"IT and customer support teams get overwhelmed with repetitive queries and tasks that could be automated, but legacy chatbots can’t handle complex requests",AI service desk/copilot that auto-resolves requests by understanding intent and executing actions across systems,"Handles internal IT queries (password resets, VPN issues) or customer support (order status, refunds) by conversing naturally and directly integrating with backend systems to perform the needed action or retrieve answers – often resolving issues without human intervention","Uses advanced conversational AI (pre-trained on IT and support dialogs) combined with RPA-like workflow automation; it not only comprehends multi-turn, context-rich queries but also knows when to escalate to a human and learns from each interaction, continuously improving resolution rates – effectively reducing helpdesk workloads dramatically",USD 90M,24 Jan 2023,,,
Harvey,USA,"Lawyers spend huge amounts of time on research and drafting, much of which involves repetitive analysis of legal text that AI could handle","AI legal assistant built on GPT-4, fine-tuned for legal tasks (research memos, contract analysis, drafting) for law firms","Lawyers can ask Harvey complex legal questions (e.g., summarizing how a case law applies to their situation) or have it review a contract and flag issues, or even generate first-draft contracts or court filings tailored to specific jurisdictions, significantly speeding up legal workflows","Customized LLM that understands legal context, terminology, and tone – it produces output that is far more accurate and useful for legal professionals than a generic AI, functioning like an extremely well-read junior attorney who can comb through millions of pages of law in seconds and produce coherent arguments or insights – enabling lawyers to focus on strategy and judgment rather than rote drafting",USD 21M,14 Mar 2023,,,
Exploding Topics,USA,"Entrepreneurs and marketers want to spot rising trends early, but it’s hard to filter the signal from noise online",Trend-spotting tool using algorithms (and AI) to surface topics with surging interest before they go mainstream,"Scans search queries, social mentions, and other online data to identify products or topics 'exploding' in interest, providing short insight reports on each trend",Algorithmic detection of fast-growing topics plus new AI clustering to group related keywords and predict trend staying power – essentially automating an analyst’s early trend scouting,N/A,,,,
Akkio,USA,Small businesses have valuable data but lack data science expertise to build predictive models from it,No-code automated machine learning platform that allows anyone to create predictive models from spreadsheet data in minutes,"Users connect datasets (e.g., CRM exports) and select a target (like churn or lead conversion) – Akkio’s AI then builds a model and provides predictions and insights via a simple UI or API","Fully automated ML pipeline and easy integration – under the hood it uses AutoML and shapley-value explanations, but to the user it feels like an intuitive app, enabling advanced predictions without any coding or ML knowledge",USD 2.1M,2021,,,
G2 (AI features),USA,Software buyers are overwhelmed by thousands of user reviews and need quick summaries to make decisions,Established software review marketplace that added an AI analyst (Monty) to synthesize review insights and competitive comparisons automatically,"G2’s platform now uses AI to summarize pros/cons and common themes from all user reviews of a product, and can generate side-by-side competitor comparisons from review data, reducing manual research for buyers","NLP on a massive corpus of tech reviews provides unbiased, data-driven summaries in seconds; the AI can read thousands of opinions and distill what users consistently like or dislike about each tool, which helps buyers and also gives vendors feedback at a glance",N/A,(AI launched 2023; G2 total funding $257M),,,
Watchful,New Zealand,"Product teams find it difficult to keep track of competitors’ frequent app or UX updates, especially in mobile apps, which can indicate strategic changes",Automated product change monitoring (esp. mobile apps) that uses computer vision to detect UI/feature changes and alert teams,"Captured regular screenshots of competitors’ apps and websites (including behind logins) and used AI to highlight what changed (new buttons, removed features), enabling companies to catch new feature launches or experiments by competitors quickly","Visual AI allowed it to monitor UX changes at scale that would be impossible manually; by interpreting screenshots and UI elements with ML, it could not only flag changes but categorize them (e.g., a new payment option added), effectively revealing competitors’ roadmap moves (Tech acquired by ThoughtWorks in 2023)",USD 3M,3 Jun 2020,,,
NetBase Quid,USA,"Market researchers and strategists struggle to synthesize insights from huge volumes of unstructured data (news, social posts, forums) to see the big picture",AI-powered research platform that analyzes and visualizes narratives and trends by examining connections in large text datasets,"Combines social listening (NetBase) with AI text analysis (Quid) to cluster conversations and articles into themes, so users can literally see a map of trends or public opinion drivers in their industry","Advanced natural language processing and network graph algorithms group millions of documents by semantic similarity, revealing hidden relationships and emerging topics that traditional keyword analytics would miss – providing a bird’s-eye view of any topic’s discussion landscape",USD 39M (Quid pre-merger),2018 (merged with NetBase in 2019),,,